"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Limd26",1.01223823001431e-11,0.141515232766861,1,0.982,3.62887405460132e-08,"19","Limd2",0.018,0.0130430374755988
"Sell2",1.42665500233805e-11,0.127018673922689,1,0.858,5.1145581833819e-08,"19","Sell",0.142,0.106249498279434
"Ncf45",2.32884092702746e-11,0.100316191757745,1,0.765,8.34889472339343e-08,"19","Ncf4",0.235,0.180331816503544
"Lyz15",2.98198957407235e-11,0.151432288288524,0.989,0.787,1.06904326230494e-07,"19","Lyz1",0.202,0.154503641792253
"Klf23",3.98708148156649e-11,0.152575442136511,1,0.956,1.42936871114159e-07,"19","Klf2",0.044,0.0320936297098533
"Trem36",4.76554958317577e-11,0.119380873321383,0.956,0.381,1.70844952556851e-07,"19","Trem3",0.575,0.502193050694183
"Ctsd2",5.7759564502224e-11,0.184852561639717,1,0.976,2.07068038740473e-07,"19","Ctsd",0.024,0.0174170530774094
"Cybb6",9.79726736913374e-11,0.248363468900156,0.978,0.602,3.51232035183445e-07,"19","Cybb",0.376,0.304168278350401
"Cyba7",1.02611271696456e-10,0.282158351768888,1,0.997,3.67861409031795e-07,"19","Cyba",0.003,0.00216566721811454
"Camp6",6.53802553782018e-10,0.677221316820331,1,0.987,2.34388215530853e-06,"19","Camp",0.013,0.00940812741241696
"Cd533",6.53862279986304e-10,0.136856273776189,1,0.821,2.3440962737509e-06,"19","Cd53",0.179,0.135269077685249
"Selplg2",1.33012786526212e-09,0.115521210713508,1,0.918,4.76850839696471e-06,"19","Selplg",0.082,0.060397279643956
"Wfdc217",2.47648275636776e-09,0.332285937696593,1,0.754,8.87819068157843e-06,"19","Wfdc21",0.246,0.189351252217354
"Dstn6",3.28696462822692e-09,0.113597447812333,0.944,0.809,1.17837681921935e-05,"19","Dstn",0.135,0.10383581098454
"Ccnd35",5.45132623296789e-08,0.117772951790319,0.978,0.982,0.000195430045451899,"19","Ccnd3",-0.004,-0.00291453642737737
