"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"53",4.16650877971151e-15,0.173234567139417,1,0.889,1.49369339752658e-11,"50","Rexo2",0.111,0.0823772982737175
"54",4.23860583040158e-15,0.152446090419525,1,0.811,1.51954019019896e-11,"50","Lyar",0.189,0.143213453711919
"55",9.5165081510711e-15,0.198343379052478,1,0.983,3.41166817215899e-11,"50","Cyc1",0.017,0.012315322433239
"56",1.09153977703531e-14,0.30351547016425,1,0.94,3.91317010067158e-11,"50","Hspd1",0.0600000000000001,0.0439433475875972
"57",1.42747493162938e-14,0.165075806142607,1,0.974,5.11749762989133e-11,"50","Psmd7",0.026,0.0188780102056895
"58",1.66136239923425e-14,0.693840815579703,1,0.644,5.95598420125477e-11,"50","Car1",0.356,0.282789700980404
"59",2.06314214061195e-14,0.14632041966038,1,0.255,7.39636457409386e-11,"50","Ces2g",0.745,0.672312635823953
"60",2.50820657213004e-14,0.242253432071695,1,0.945,8.99192056108619e-11,"50","C1qbp",0.055,0.040229844788533
"61",2.94122832713142e-19,0.425562988416615,1,0.261,1.05443035527661e-15,"53","Itga2b",0.739,0.665431724333867
"62",1.04528501397468e-18,0.244662692418704,1,0.293,3.74734677509922e-15,"53","Slc14a1",0.707,0.629277724851833
"63",1.19721808667371e-18,0.414805200394143,1,0.293,4.29202684072525e-15,"53","Pbx1",0.707,0.629277724851833
"64",2.49084706000393e-18,0.29767452002785,1,0.39,8.92968671011408e-15,"53","Nrgn",0.61,0.524915117051217
"65",2.49203371132613e-18,1.53152788533111,1,0.443,8.93394085510417e-15,"53","Pf4",0.557,0.470928700170889
"66",5.27228247278354e-18,0.256429070483045,1,0.568,1.8901132664929e-14,"53","Plek",0.432,0.351074440546879
"67",7.00884196329462e-18,0.213786078851345,1,0.767,2.51266984384112e-14,"53","Rabgap1l",0.233,0.17869796011047
"68",2.06415873141003e-17,0.25674674442997,1,0.611,7.40000905210494e-14,"53","Serpina3g",0.389,0.312043505955518
"69",2.5687451902641e-17,0.400953726817432,1,0.769,9.20895150709681e-14,"53","Mef2c",0.231,0.177065951971628
"70",5.47739017713501e-17,0.425601249488461,1,0.677,1.9636443785029e-13,"53","Cd9",0.323,0.254117311097741
