"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Hmgb35",2.85130562758106e-12,0.231695296692131,1,0.902,1.02219306748781e-08,"38","Hmgb3",0.098,0.0724827538015235
"Adgrg15",3.4336010096087e-12,0.186271108846667,1,0.752,1.23094596194472e-08,"38","Adgrg1",0.248,0.190997225060914
"Vamp54",6.55155558498256e-12,0.217967292754367,1,0.829,2.34873267721625e-08,"38","Vamp5",0.171,0.128944924913371
"Polr2e2",1.34879778165931e-11,0.112265121607175,1,0.957,4.83544004724861e-08,"38","Polr2e",0.043,0.0313562440352833
"Etfb6",1.79223651095367e-11,0.210061043657129,1,0.996,6.42516789176891e-08,"38","Etfb",0.004,0.00288827932482635
"Fyb8",4.95769831091764e-11,0.118584856616859,1,0.602,1.77733484446397e-07,"38","Fyb",0.398,0.320125852253377
"Nedd44",5.97758801912647e-11,0.114092707899892,1,0.901,2.14296530485684e-07,"38","Nedd4",0.099,0.073241468013535
"Apoe7",3.43930318144179e-10,0.543153672718736,1,0.82,1.23299019054688e-06,"38","Apoe",0.18,0.136061549576029
"Ccnd23",1.17249629660251e-09,0.207346306026651,1,0.892,4.20339922332001e-06,"38","Ccnd2",0.108,0.0800879113226918
"Cct44",1.83547504421054e-09,0.100307781302975,1,1,6.58017803349477e-06,"38","Cct4",0,0
"Hnrnpd3",1.87429458015729e-09,0.114818337346784,1,0.955,6.7193460698639e-06,"38","Hnrnpd",0.045,0.0328313924673725
"Cdk63",5.12950221113536e-09,0.130887820371241,0.961,0.935,1.83892654269203e-05,"38","Cdk6",0.0259999999999999,0.019255969160376
"Nucks15",8.57466537839443e-09,0.143079812019107,1,0.932,3.0740175381544e-05,"38","Nucks1",0.0679999999999999,0.0499049058263139
"Gpx44",9.11845582381276e-09,0.124844558281586,1,1,3.26896641283687e-05,"38","Gpx4",0,0
"Hdgf5",1.16510029661227e-08,0.14292159090808,1,0.996,4.17688456335497e-05,"38","Hdgf",0.004,0.00288827932482635
"Ldha7",1.54538587027484e-08,0.313207760177321,1,0.999,5.54020834493528e-05,"38","Ldha",0.001,0.000721527917459226
"Nt5c36",1.78220642660234e-08,0.109756351361999,1,0.876,6.38921003936937e-05,"38","Nt5c3",0.124,0.0923401721467105
"G3bp16",3.76222499078401e-08,0.125282692196085,1,0.982,0.000134875765919607,"38","G3bp1",0.018,0.0130430374755988
"Lmo210",6.48384287966484e-08,0.206359708923814,1,0.984,0.000232445767235985,"38","Lmo2",0.016,0.0115879742752118
"Serbp19",2.01272440265243e-07,0.161610127969405,1,1,0.000721561698350897,"38","Serbp1",0,0
"H2az17",2.42271571060721e-07,0.290345013784799,1,0.93,0.000868543582252686,"38","H2az1",0.07,0.0513991525066441
"Cct75",2.46693436395682e-07,0.107544878894538,1,0.996,0.00088439596947852,"38","Cct7",0.004,0.00288827932482635
"Impdh24",4.41679624057062e-07,0.100547694263491,1,0.994,0.00158342145224457,"38","Impdh2",0.00600000000000001,0.00433459026389112
"Sumo24",8.55240814513195e-07,0.129989894311947,1,0.997,0.0030660383200298,"38","Sumo2",0.003,0.00216566721811454
"Cct38",3.15589308662697e-06,0.112973780361884,1,0.963,0.0113138767155577,"38","Cct3",0.037,0.0269398271959158
"Prdx114",4.54953712700746e-06,0.147449705244752,1,0.999,0.0163100906003217,"38","Prdx1",0.001,0.000721527917459226
"H3f3b9",5.1069903949698e-06,0.209514550013065,1,1,0.0183085605659667,"38","H3f3b",0,0
"Anp32b8",5.36521051982673e-06,0.138059108559194,1,0.997,0.0192342797135788,"38","Anp32b",0.003,0.00216566721811454
"Rps3a111",7.30584338460795e-06,0.217524221895633,1,0.999,0.0261914485338195,"38","Rps3a1",0.001,0.000721527917459226
"Rps810",1.42644412428903e-05,0.212736411129691,1,1,0.0511380218557618,"38","Rps8",0,0
"Set11",4.47891181124426e-05,0.127639580208037,1,0.983,0.160568988433107,"38","Set",0.017,0.012315322433239
"Dctpp18",4.96680750098021e-05,0.116157035923125,1,0.94,0.178060048910141,"38","Dctpp1",0.0600000000000001,0.0439433475875972
"Rpl2611",5.4273873378808e-05,0.181855462888178,1,0.999,0.194571836063027,"38","Rpl26",0.001,0.000721527917459226
"Rpl611",6.46341097986646e-05,0.172177778132159,1,1,0.231713283628213,"38","Rpl6",0,0
"Ncl8",0.000143520261861872,0.126642210585275,1,1,0.514520138774812,"38","Ncl",0,0
"Eif5a9",0.000169467180817954,0.132967409402996,1,0.999,0.607539843232366,"38","Eif5a",0.001,0.000721527917459226
"Calm29",0.000210941365939037,0.121849073419088,1,1,0.756224796891447,"38","Calm2",0,0
"Rps4x12",0.000235063143055042,0.205944000715413,1,1,0.842701367852327,"38","Rps4x",0,0
"Rack16",0.000235093649007578,0.109325701801053,1,0.995,0.842810731692169,"38","Rack1",0.005,0.00361125355237883
"Ran12",0.000261901172882948,0.129268164660475,1,0.998,0.93891570478537,"38","Ran",0.002,0.00144341686966884
"Tmem176b12",0.000298897796574745,0.116690649999616,1,0.929,1,"38","Tmem176b",0.071,0.0521468566129836
"Hsp90aa17",0.000311513258267514,0.108382350930101,1,0.998,1,"38","Hsp90aa1",0.002,0.00144341686966884
"Ptma12",0.000405355932760632,0.161448163722347,1,1,1,"38","Ptma",0,0
"Ppia13",0.000461620158515539,0.160894112770411,1,1,1,"38","Ppia",0,0
"Rps511",0.000485961406034886,0.1863409834693,1,1,1,"38","Rps5",0,0
"Rps1712",0.000518188685586897,0.169133938487408,1,1,1,"38","Rps17",0,0
"Rpl510",0.000619627929514723,0.129532241645513,1,1,1,"38","Rpl5",0,0
"Rps1810",0.00068564151642296,0.208468007884753,1,1,1,"38","Rps18",0,0
"Rpl3811",0.000837162499311674,0.151719038772508,1,1,1,"38","Rpl38",0,0
"Hmgb19",0.000890960972655202,0.1318796852029,1,1,1,"38","Hmgb1",0,0
"Rps2811",0.000995102875194442,0.168861672732756,1,1,1,"38","Rps28",0,0
"Npm111",0.00126900082056212,0.108616283564131,1,1,1,"38","Npm1",0,0
"Rpl3912",0.00141304696593925,0.185173515124055,1,1,1,"38","Rpl39",0,0
"Rpl1811",0.00146467321906259,0.143316464413656,1,1,1,"38","Rpl18",0,0
"Rpl3610",0.00187620462883329,0.159080527425188,1,1,1,"38","Rpl36",0,0
"Rpl1310",0.00324271687272448,0.182335859908984,1,1,1,"38","Rpl13",0,0
"Rpl3211",0.00350448231776015,0.191494111665091,1,1,1,"38","Rpl32",0,0
"Rps79",0.00426858380434896,0.174313903881584,1,1,1,"38","Rps7",0,0
"Rps1911",0.00535065472054418,0.171998831352596,1,1,1,"38","Rps19",0,0
"Rpl911",0.00594650529800554,0.137835577301526,1,1,1,"38","Rpl9",0,0
"Rpl178",0.00653488933451597,0.163424095349741,1,1,1,"38","Rpl17",0,0
"Chil313",7.62031319089386e-15,0.955034997749678,1,0.892,2.73188227893545e-11,"39","Chil3",0.108,0.0800879113226918
"Lcn216",1.15988405097279e-13,1.24153281423242,1,0.982,4.15818432273746e-10,"39","Lcn2",0.018,0.0130430374755988
"Ltf13",1.38875017785783e-13,1.01383512786316,1,0.887,4.97866938762031e-10,"39","Ltf",0.113,0.0839055770616417
"Camp14",1.42858579613301e-13,1.52395188472704,1,0.987,5.12148007913685e-10,"39","Camp",0.013,0.00940812741241696
"Cd17713",3.34680316823535e-13,0.324641906002607,1,0.428,1.19982893581237e-09,"39","Cd177",0.572,0.486004020632987
"Ngp13",4.42253541791496e-13,1.56811146186554,1,0.987,1.58547894732251e-09,"39","Ngp",0.013,0.00940812741241696
"Wfdc2115",6.14225982213132e-13,0.684805021188101,1,0.754,2.20200014623408e-09,"39","Wfdc21",0.246,0.189351252217354
"S100a916",6.63134826324065e-13,1.57307708579322,1,1,2.37733835237177e-09,"39","S100a9",0,0
"Ifitm614",6.95689753802998e-13,0.472873185033191,1,0.863,2.49404776738375e-09,"39","Ifitm6",0.137,0.10237232572045
"Cebpe12",1.37314676148544e-12,0.179632236162919,1,0.409,4.92273113992532e-09,"39","Cebpe",0.591,0.50532838835245
"S100a816",1.55319689010719e-12,1.65812747199219,1,1,5.56821085103427e-09,"39","S100a8",0,0
"Lyz218",1.63176722417243e-12,1.14194069000764,1,0.997,5.84988549865816e-09,"39","Lyz2",0.003,0.00216566721811454
"C310",3.99633603050704e-12,0.109557157490374,1,0.341,1.43268646693678e-08,"39","C3",0.659,0.576690762757613
"Lrg114",5.6752981475856e-12,0.206972590047829,1,0.39,2.03459438590944e-08,"39","Lrg1",0.61,0.524915117051217
"Cybb16",7.28504211997255e-12,0.348945365066166,1,0.602,2.61168760001016e-08,"39","Cybb",0.398,0.320125852253377
"Anxa116",7.73521675668727e-12,0.512873356041996,1,0.804,2.77307520727239e-08,"39","Anxa1",0.196,0.148800661406706
"Fcnb13",8.88458593244656e-12,0.343385174909997,1,0.529,3.18512405678209e-08,"39","Fcnb",0.471,0.387411593301282
"Adpgk10",9.54711697135388e-12,0.138601081466891,1,0.415,3.42264143423037e-08,"39","Adpgk",0.585,0.499197946942842
"Pglyrp115",1.08941447489066e-11,0.62794671720651,1,0.922,3.90555089248303e-08,"39","Pglyrp1",0.078,0.0573916638883365
"Ckap410",1.33363997589888e-11,0.102802620594246,1,0.558,4.7810993135975e-08,"39","Ckap4",0.442,0.360304766600418
"Lmo412",1.60657785510027e-11,0.100764427967546,1,0.832,5.75958161053445e-08,"39","Lmo4",0.168,0.126580496565143
"Ncf412",1.6442262013589e-11,0.147784318916246,1,0.766,5.89455093187167e-08,"39","Ncf4",0.234,0.179514657013621
"Ltb4r111",3.24334617164953e-11,0.148275129878204,1,0.429,1.16273960253635e-07,"39","Ltb4r1",0.571,0.484994083566271
"Clec4a214",6.14165610452228e-11,0.133443207546673,1,0.418,2.20178371347124e-07,"39","Clec4a2",0.582,0.496142467422571
"Ncf113",9.04768953861125e-11,0.183857465880851,1,0.701,3.24359669959213e-07,"39","Ncf1",0.299,0.233616858998702
"Cyba17",1.17621079654827e-10,0.388132155850764,1,0.997,4.21671570562556e-07,"39","Cyba",0.003,0.00216566721811454
"Igsf615",1.24223181069263e-10,0.119392077965298,1,0.52,4.45340104133309e-07,"39","Igsf6",0.48,0.395928676331139
"Gsn13",1.30607438317669e-10,0.100319455858497,1,0.556,4.68227666368842e-07,"39","Gsn",0.444,0.362157939675895
"Serpinb1a12",1.6460544113343e-10,0.303043674314717,1,0.905,5.90110506463346e-07,"39","Serpinb1a",0.095,0.0702090022814026
"Trem312",1.99463087067788e-10,0.125081838365798,1,0.382,7.15075167138019e-07,"39","Trem3",0.618,0.533242384273828
"Ly6c220",2.02196441067215e-10,0.454651812702294,1,0.992,7.24874241225964e-07,"39","Ly6c2",0.00800000000000001,0.00578235259400618
"Alox5ap17",2.02246680436733e-10,0.219339852022546,1,0.971,7.25054349365687e-07,"39","Alox5ap",0.029,0.0210722236186012
"Mgst116",2.79501861239408e-10,0.144869126378944,1,0.748,1.00201417254328e-06,"39","Mgst1",0.252,0.194294815161489
"Cd6315",3.28173978461086e-10,0.267576645346307,1,0.844,1.17650371278299e-06,"39","Cd63",0.156,0.117161344232749
"Dstn12",4.24522400489726e-10,0.136810762573294,1,0.809,1.52191280575567e-06,"39","Dstn",0.191,0.144807592040846
"Lta4h11",5.85371265653560e-10,0.153924456132364,1,0.911,2.09855598736801e-06,"39","Lta4h",0.089,0.0656722216846303
"Hp16",7.43464330055388e-10,0.446960915407508,1,0.894,2.66531962324857e-06,"39","Hp",0.106,0.078563669193702
"Fcer1g19",1.51670834019722e-09,0.350231442382214,1,0.995,5.43739939960703e-06,"39","Fcer1g",0.005,0.00361125355237883
"Tmsb4x22",2.52524312317696e-09,0.738732601111961,1,1,9.05299659658939e-06,"39","Tmsb4x",0,0
"S100a1117",8.76933433330313e-09,0.364622346794315,1,0.978,3.14380635848917e-05,"39","S100a11",0.022,0.0159575739029763
"Cnn216",1.05102317083414e-08,0.190744778206134,1,0.942,3.76791806744038e-05,"39","Cnn2",0.0580000000000001,0.0424567992428949
"Cd5218",1.36933440351702e-08,0.330452776950202,1,0.984,4.90906383660851e-05,"39","Cd52",0.016,0.0115879742752118
"Ms4a39",1.56538532412469e-08,0.110119570986588,1,0.829,5.61190638698703e-05,"39","Ms4a3",0.171,0.128944924913371
"Lgals318",2.69351730916832e-08,0.104409508767305,0.987,0.782,9.65625955336843e-05,"39","Lgals3",0.205,0.157094535727748
"Tyrobp20",1.64137984341462e-07,0.328581837182354,1,0.996,0.000588434673864142,"39","Tyrobp",0.004,0.00288827932482635
"Hmgn213",2.05157853669606e-07,0.299985021151245,1,0.986,0.000735490905405536,"39","Hmgn2",0.014,0.0101343771337131
"Elane8",2.05192229915927e-07,0.144134106173733,1,0.968,0.0007356141442486,"39","Elane",0.032,0.0232697793228473
"Cd913",2.60728623950546e-07,0.111740549226284,1,0.679,0.000934712116862708,"39","Cd9",0.321,0.252397769725057
"Gsr15",4.78574269096162e-07,0.100471283802417,0.987,0.773,0.00171568875470974,"39","Gsr",0.214,0.164399336350982
"Mmp913",5.79060515312255e-07,0.112815198755603,0.848,0.486,0.00207593194739443,"39","Mmp9",0.362,0.314530640877461
"Msrb115",9.46286965453397e-07,0.152839111020981,0.987,0.902,0.00339243877115043,"39","Msrb1",0.085,0.0630746263891066
"Anxa215",1.65166019218136e-06,0.102785764189773,0.987,0.846,0.00592120178897016,"39","Anxa2",0.141,0.106189319603896
"Lcp116",9.75451684832058e-06,0.111247897636297,0.987,0.942,0.0349699429012293,"39","Lcp1",0.045,0.0330486718304781
"Slpi13",1.31881645291874e-05,0.110770430772509,0.987,0.946,0.047279569837137,"39","Slpi",0.041,0.0300801624685587
"Pkm9",1.44778685787821e-05,0.119118032000567,1,0.934,0.0519031588549338,"39","Pkm",0.0659999999999999,0.0484122051852456
"Actb13",0.000328512169695733,0.210721003118284,1,1,1,"39","Actb",0,0
"Mmp812",0.000407870008279854,0.106457202395653,0.861,0.768,1,"39","Mmp8",0.093,0.07395978066772
"Igkc14",0.00788207535556296,0.111728530068346,0.911,0.876,1,"39","Igkc",0.035,0.0266679504620802
